id;mesic;rok;celkova;potraviny;alkohol;odivani;bydleni;vybaveni;zdravi;doprava;telekomunikace;kultura;vzdelani;stravovani;ostatni
1;1;1995;50,6;64,1;39,5;104,7;24,8;91,7;29,6;64,2;46,3;68,1;41,9;46;54,1
2;2;1995;51,1;65;39,7;105,9;25;92,5;29,6;64,3;46,3;68,4;42,2;46,3;54,4
3;3;1995;51,1;64,9;39,9;107;25;93,1;29,7;64,4;46,3;68,6;42,3;46,3;54,7
4;4;1995;51,6;65,2;40,1;108;25,1;93,6;29,8;65,6;56,5;69,8;42,5;46,7;55,3
5;5;1995;51,8;65,3;40,2;108,9;25,1;94;30,9;65,7;56,5;70,4;42,5;47,1;55,5
6;6;1995;52,4;66;40,3;109,5;25,8;94,2;32;65,8;56,5;71,6;42,7;47,3;55,9
7;7;1995;52,4;64;40,3;109,9;26,7;94,5;33;66;56,5;72,7;42,7;47,6;56
8;8;1995;52,4;63,4;40,4;110,4;26,7;94,7;33,5;66,1;56,5;73;42,7;47,7;56,2
9;9;1995;52,8;64,4;40,5;111,7;27,2;95,1;33,7;66,6;56,5;72,3;46,5;48,2;56,5
10;10;1995;53,2;65,1;40,6;113,6;27,3;95,6;34,8;66,7;56,5;72,3;46,7;48,3;56,5
11;11;1995;53,6;65,9;40,6;114,9;27,4;96,1;35;67;56,5;73;46,5;48,4;56,8
12;12;1995;53,8;66,8;40,7;115,7;27,4;96,3;35,1;67;56,5;73,6;46,6;48,6;56,9
13;1;1996;55,1;68,2;43,3;116,4;27,7;96,6;35,3;72;56,5;74,3;47;49;58
14;2;1996;55,4;68,5;43,6;117,1;27,9;97,1;35,4;72,1;56,5;74,7;48,3;49,4;58,1
15;3;1996;55,7;69,5;43,7;117,8;27,9;97,6;35,6;72,4;56,5;74,8;48,6;49,5;58,2
16;4;1996;56;70,2;43,8;119;28;98;35,6;72,8;63,7;74,7;48,6;49,6;58,4
17;5;1996;56,2;70,9;44;120,3;28;98,1;35,8;73,3;63,7;75,2;48,7;49,8;58,5
18;6;1996;56,7;71,8;44,2;121,5;28;98,3;35,8;74,3;63,7;75,9;49;50,1;58,6
19;7;1996;57,3;70,9;44,3;121,9;29,8;98,7;35,6;74,5;63,7;77,4;49;50,3;58,7
20;8;1996;57,4;69,5;44,4;122,2;30,8;98,8;36;74,6;63,7;77,7;49;50,5;58,9
21;9;1996;57,5;69,7;44,4;123,3;31;99;36,7;74,6;63,7;76,8;52,1;51,2;58,9
22;10;1996;57,8;70,5;44,5;124,8;31,1;99,3;37,1;74,8;63,7;76,3;52,2;51,6;59
23;11;1996;58,1;70,9;44,6;125,9;31,1;99,5;37,5;76,1;63,7;76,4;52,3;51,8;59,2
24;12;1996;58,5;71,7;44,5;126,7;31,1;99,7;37,9;76,4;63,7;76,9;52,3;51,9;59,4
25;1;1997;59,2;72,4;45,7;127,2;31,5;99,9;38,5;77,8;63,7;77,4;52,5;52,1;61,2
26;2;1997;59,4;72,2;46,1;127,6;31,7;100,6;38,7;78;63,7;77,9;52,6;52,4;61,4
27;3;1997;59,5;72,1;46,3;128,3;31,7;101,3;38,7;78;63,7;77,8;52,7;52,5;61,7
28;4;1997;59,9;72,3;46,4;129,6;31,8;101,6;40,6;78,2;73,2;78,2;52,7;52,7;61,8
29;5;1997;60;72,2;46,6;130,9;31,8;102,1;42,5;78,2;73,2;78,4;52,7;52,8;62
30;6;1997;60,6;73,7;46,8;132,1;31,8;103,4;43,8;79,1;73,2;79,6;53,1;53,3;62,2
31;7;1997;62,7;72,8;47,2;132,3;38;103,8;44,9;79,1;73,6;84,2;53,1;53,8;62,4
32;8;1997;63,1;73,2;47,5;132,5;38;104,4;45,2;81,6;73,6;84,5;53,1;54,1;62,6
33;9;1997;63,5;73,7;47,7;133,7;38,2;105,4;45,5;82,5;73,6;83,6;58,4;54,9;62,9
34;10;1997;63,9;74,4;47,7;136;38,2;106,1;45,7;82,5;73,6;83,4;58,5;55,3;63,2
35;11;1997;64,1;74,8;47,7;137,3;38,4;106,8;46,1;82,4;73,6;83,8;58,6;55,4;63,3
36;12;1997;64,4;75,5;47,7;138,3;38,4;107,3;46,8;82,5;73,6;84,3;58,6;55,6;63,4
37;1;1998;66,9;77,3;49,4;138,1;42,8;107,9;47,7;84,8;73,6;85,3;60,2;58;66,6
38;2;1998;67,3;77,5;50,8;138,1;43,2;108,8;48,1;84,8;73,6;85,9;60,5;59;66,8
39;3;1998;67,5;77,6;51,2;138,7;43,3;109,2;48,3;84,2;73,6;85,5;60,8;59,4;66,8
40;4;1998;67,7;77,8;51,2;139,9;43,3;109,6;48,5;83,8;80,4;85,3;60,9;59,7;66,9
41;5;1998;67,7;77,9;51,3;140,3;43,3;109,9;48,7;83,6;80,4;85,4;61;59,8;67
42;6;1998;68;78,3;51,3;140,7;43,4;110,1;49,1;83,1;80,4;86,6;61,4;60;67,2
