rok;ctvrtleti;zemeles;prumyslcelk;prumyslzprac;stavebnictvi;obcohdpohost;infokomunik;bankovnictvi;nemovitostni;profesni;verejneobranazdravisoc;ostatní;hrubapridanahodnota;danezproduktu;dotacenaprodukty;HDP
1995;Q1;12234;99968;71876;20813;65094;8373;10020;23110;21727;52339;8926;322604;36536;5133;354007
1995;Q2;13106;112418;85334;29698;77579;9527;12756;23569;24371;51073;8467;362564;41201;5118;398647
1995;Q3;24118;111658;86613;28960;81159;10888;14302;24395;21411;54303;9502;380696;42407;4869;418234
1995;Q4;14930;129234;99747;31524;76636;14920;11993;19850;28138;57725;10816;395766;46885;5948;436703
1996;Q1;16281;123536;89659;26311;66230;11508;12321;24375;26537;59228;9418;375745;41656;5039;412362
1996;Q2;13372;137869;106210;30384;86331;12498;13167;26092;26415;62383;9600;418111;46930;5198;459843
1996;Q3;26800;128282;101568;35716;94011;13980;14284;27558;21634;59836;9253;431354;49147;5126;475375
1996;Q4;14759;142821;111368;35576;89021;19070;14022;24201;28990;66399;11301;446160;52722;5906;492976
1997;Q1;14478;128289;100535;27303;80476;14279;12575;29673;25574;63063;10749;406459;42681;5252;443888
1997;Q2;12540;137377;109840;31850;100221;15491;16528;30465;26209;68396;11517;450594;49011;5468;494137
1997;Q3;27194;144554;119353;36652;98505;17852;12662;31702;22223;63497;10834;465675;50672;5279;511068
1997;Q4;14512;158462;127558;38311;96386;22570;15779;27860;30778;66844;12909;484411;54684;5765;533330
1998;Q1;15067;141638;114268;29049;88794;15930;16412;33517;26664;66323;11533;444927;46914;4058;487783
1998;Q2;16620;152941;124671;35434;108212;17117;24362;36225;28948;70791;12010;502660;51456;4598;549518
1998;Q3;31767;153593;127258;40376;109120;18732;18690;37878;25105;68288;11695;515244;52712;4440;563516
1998;Q4;12142;157447;126213;39235;105464;24120;19420;33834;35182;75483;14606;516933;55751;4617;568067
1999;Q1;14303;143074;113169;28822;93244;16911;18301;39006;28856;69802;12040;464359;50173;4478;510054
1999;Q2;14290;160117;131249;34003;114794;17980;21129;40193;29695;74653;12523;519377;56287;5144;570520
1999;Q3;30373;152195;127633;37822;116783;20019;17114;43650;26770;71149;12384;528259;57701;5039;580921
1999;Q4;13510;166426;136883;38465;116373;26312;18819;38396;36578;78036;15457;548372;62304;4896;605780
2000;Q1;14879;152301;123721;29406;103847;20021;15121;45105;31079;72654;12893;497306;51637;4736;544207
2000;Q2;15998;171263;143667;29974;124388;20742;17607;45410;32314;78254;13620;549570;57720;5328;601962
2000;Q3;32317;161460;139055;36441;130716;23425;17261;46136;27783;73954;12985;562478;59254;5301;616431
2000;Q4;14322;180256;151160;38129;125060;28884;18469;38922;37563;80423;15825;577853;64599;5352;637100
2001;Q1;16573;170383;140351;28833;110100;21534;19815;46879;31517;77737;12948;536319;55697;4167;587849
2001;Q2;17555;183923;155874;31394;132526;22441;22364;48002;34982;83541;14157;590885;60634;4949;646570
2001;Q3;32703;180718;150688;39410;136618;25196;18924;49118;31370;80344;12992;607393;61723;4864;664252
2001;Q4;15781;198153;162550;41600;135569;31491;17087;41400;42793;91017;16791;631682;66063;4842;692903
2002;Q1;16409;179939;145055;32010;118492;24030;16955;47380;33802;87386;13364;569767;57678;5026;622419
2002;Q2;15966;186737;152785;37322;143558;25225;17548;49232;41095;96652;13965;627300;62371;5431;684240
2002;Q3;27149;181525;149360;43733;144204;27741;16427;52806;36748;88901;14022;633256;64368;5972;691652
2002;Q4;12043;189397;154104;43461;139165;32812;14090;46931;50285;98677;17002;643863;68824;6532;706155
2003;Q1;14268;183501;148165;31717;122936;27098;22213;49790;35971;95892;14983;598369;61486;7845;652010
2003;Q2;15401;190416;155959;42510;140065;27009;23495;52846;43432;103435;15149;653758;67121;7802;713077
2003;Q3;27633;183726;153052;48529;151219;27351;21425;53627;39545;94325;15530;662910;69549;8093;724366
2003;Q4;11574;186553;153585;45622;156522;35659;19028;48438;48521;105134;18803;675854;74206;6316;743744
2004;Q1;15398;200375;163177;36387;127049;26837;23403;52833;39411;99550;17242;638485;72106;7016;703575
2004;Q2;16984;213954;174680;42789;146045;28081;24660;54647;44823;103515;16023;691521;79696;7358;763859
2004;Q3;29737;204979;168079;49953;151365;30395;23081;56872;45628;100720;15960;708690;82857;7551;783996
2004;Q4;12236;233294;193062;51205;161398;38872;20029;55367;53567;112224;19625;757817;86287;7757;836347
2005;Q1;15576;216495;174216;37687;136072;29066;23983;56314;41555;108857;17335;682940;81557;6463;758034
2005;Q2;19092;229903;187446;48942;152376;32031;24507;61730;48917;110945;16139;744582;86303;7210;823675
2005;Q3;28453;216192;180189;56291;154430;35545;24583;61886;47788;109097;15793;750058;86484;6924;829618
2005;Q4;11898;242081;199707;55098;169242;43722;19743;60877;58552;115947;19705;796865;88415;8114;877166
2006;Q1;15390;242614;193873;35983;143816;34426;23172;62240;41815;114976;16968;731400;83100;7122;807378
2006;Q2;18119;250707;203564;50219;161907;36790;26921;65711;51812;116638;17724;796548;87163;7496;876215
2006;Q3;28541;252004;205402;58098;169216;38413;24362;65533;49249;114406;17795;817617;90222;7478;900361
2006;Q4;14307;261586;216090;58847;184680;46980;23927;63969;64240;121913;22563;863012;91614;8328;946298
2007;Q1;15268;266289;215010;43608;155192;39436;31181;66435;50306;122570;19532;809817;89541;7543;891815
2007;Q2;17898;277407;227805;53396;173114;42006;34006;67824;59397;124435;19188;868671;95739;7954;956456
2007;Q3;32342;266524;218068;61840;181747;44133;31795;70312;56683;121537;18534;885447;105026;7735;982738
2007;Q4;15046;283293;232257;64590;196861;51071;28622;70361;68251;128020;22376;928491;105240;8111;1025620
2008;Q1;18468;276841;214979;44732;165651;41974;35219;70037;54286;127541;19091;853840;92462;7833;938469
2008;Q2;19824;289886;232619;57147;183945;43812;39575;76866;66136;129731;18764;925686;105030;8533;1022183
2008;Q3;33536;280807;223477;69089;190711;45746;37839;80906;62030;126474;18222;945360;107851;8268;1044943
2008;Q4;5708;277947;214155;61045;196983;52174;36302;77824;69324;138962;21513;937782;102391;8204;1031969
2009;Q1;15029;268579;197409;45619;153534;41678;38322;80162;54199;131802;19453;848377;95552;9023;934906
2009;Q2;18118;265564;206271;61457;165544;44267;41063;82392;61196;135160;19376;894137;104176;9551;988762
2009;Q3;26182;251585;194143;70213;170351;45185;38362;81484;59204;135046;18309;895921;105586;9669;991838
2009;Q4;10067;266944;204843;71735;173118;53400;39233;81133;68960;144619;21600;930809;109278;10088;1029999
2010;Q1;11751;258158;196934;42881;152070;42188;40855;87395;54390;135030;18234;842952;97857;11554;929255
2010;Q2;13760;279664;220871;65386;170450;44132;44137;90789;61587;135743;20519;926167;108125;12347;1021945
2010;Q3;25577;264303;207944;72927;176518;44124;39783;94767;60000;132660;20172;930831;108620;12299;1027152
2010;Q4;10317;265345;209001;73440;178004;50698;42352;98753;68064;142724;23963;953660;113267;12327;1054600
2011;Q1;15677;273427;211524;39178;150863;43127;40631;92109;53658;133284;21156;863110;103748;15132;951726
2011;Q2;17488;295024;233402;58784;171205;44163;41612;91233;60019;133026;22630;935184;119072;20395;1033861
2011;Q3;35031;272533;215411;65715;173409;44823;41301;92770;56740;134328;21893;938543;119629;20271;1037901
2011;Q4;12234;287618;235084;72101;176085;51002;42526;93017;66477;139666;24372;965098;121671;14902;1071867
2012;Q1;17404;288538;226561;37286;151226;42398;41263;89484;55349;136727;19757;879432;106588;15636;970384
2012;Q2;20418;294198;233334;54881;170598;44429;41814;91828;62720;135252;19892;936030;122324;21218;1037136
2012;Q3;39284;263696;207139;59746;173531;43678;41498;94357;60763;137214;18985;932752;126751;21354;1038149
2012;Q4;14801;279793;227216;64945;177881;51083;39725;94902;72159;141186;22297;958772;129518;15573;1072717
2013;Q1;19989;279631;220272;35029;148984;43408;41207;90055;56611;138452;19211;872577;104781;15752;961606
2013;Q2;21397;294442;233421;53698;169054;44041;42097;92574;64384;138231;19887;939805;124068;22864;1041009
2013;Q3;40562;273122;217113;59946;172336;42715;41575;95790;63586;139755;19278;948665;133815;22987;1059493
2013;Q4;15923;289306;236443;64546;178594;50990;42321;95855;74627;143507;22499;978168;144412;15677;1106903
2014;Q1;21321;302277;241424;36727;155741;42365;39676;94420;59623;142264;19774;914188;107935;17098;1005025
2014;Q2;23352;322946;267802;55964;177567;47257;40694;97720;66974;143313;20500;996287;124166;23624;1096829
2014;Q3;44403;305625;255955;62287;183505;46542;41082;101531;66477;144583;19784;1015819;133553;23759;1125613
2014;Q4;15676;315485;262297;66437;188545;55039;42754;101693;75151;152543;23184;1036507;131207;17190;1150524
2015;Q1;21848;332289;270373;37832;165479;45501;41935;99094;60571;147145;20072;971766;118760;17892;1072634
2015;Q2;23916;344887;289811;58611;189460;49278;44075;102670;69656;149343;21687;1053583;141105;25279;1169409
2015;Q3;44322;320001;268496;67810;199419;50428;42960;105444;68566;150737;21920;1071607;145084;25380;1191311
2015;Q4;14995;327848;275379;69780;208611;60763;44444;106374;78501;157799;25538;1094653;141727;17921;1218459
2016;Q1;20353;339750;281041;38252;178778;50708;42321;105070;65610;153318;22160;1016320;125465;19049;1122736
2016;Q2;22914;360680;305956;58571;201899;52867;44705;109145;75503;155178;23224;1104686;145492;24760;1225418
2016;Q3;44963;325827;276847;66962;203513;52599;43575;112101;74906;157006;23081;1104533;150791;25208;1230116
2016;Q4;15803;339117;286913;70306;208814;63109;45274;115299;83954;167498;26163;1135337;148869;19446;1264760
2017;Q1;20371;351156;290638;39749;187835;54267;45181;114865;70304;162441;23780;1069949;132337;19546;1182740
2017;Q2;23219;371663;316030;60797;220672;58382;48020;118436;80486;165398;25332;1172405;155664;25586;1302483
2017;Q3;47867;344574;294113;70148;227178;58856;46784;120710;80631;168140;25220;1190108;159793;25987;1323914
2017;Q4;17592;353324;299918;78125;233578;71117;46797;124237;93488;182092;28409;1228759;161710;20262;1370207
2018;Q1;20974;354794;295033;46197;202931;62541;46552;127975;75876;180610;25659;1144109;138229;20213;1262125
2018;Q2;22088;376311;321250;66715;229979;65132;50526;134641;85121;182689;26881;1240083;159998;25693;1374388
2018;Q3;46991;348231;296763;74991;232107;64775;50877;139624;85195;184710;26533;1254034;163951;26124;1391861
2018;Q4;17741;362216;308382;81447;241572;79396;51468;143504;100839;196075;28643;1302901;165852;21354;1447399
2019;Q1;21874;370500;309380;48851;212445;75583;49482;144946;81424;197021;27616;1229742;145036;21718;1353060
2019;Q2;23346;397209;342317;70819;242953;78557;52017;148554;91960;201487;28487;1335389;166226;27052;1474563
2019;Q3;48697;378325;328075;81614;249996;76035;51979;152908;93965;202927;27991;1364437;173187;27656;1509968
2019;Q4;17472;379096;323239;88376;253524;92543;54486;156463;110374;217033;31325;1400692;173525;22939;1551278
2020;Q1;21606;369595;309815;51364;212334;83637;53027;157040;84791;210947;28264;1272605;138971;24613;1386963
2020;Q2;23852;330576;275559;71146;209544;84121;51613;161608;87662;210471;21816;1252409;154911;28747;1378573
2020;Q3;49527;357821;307119;81949;247099;79830;50771;165346;87349;220454;26921;1367067;162055;28449;1500673
2020;Q4;18317;379125;319612;87852;236776;97126;55024;170829;104916;247614;25706;1423285;163589;24765;1562109
2021;Q1;19862;368887;302141;51856;205702;93156;55569;173946;88285;223467;23441;1304171;138740;25414;1417497
2021;Q2;22458;396497;334730;75872;246817;95228;59834;179396;98044;246358;24126;1444630;170101;31718;1583013
2021;Q3;48617;354196;300595;89883;277695;93935;58862;183630;100878;239109;29843;1476648;179147;30061;1625734
2021;Q4;20008;367011;301439;94543;281111;109961;57426;191086;115597;255749;31062;1523554;183905;25948;1681511
2022;Q1;24379;396905;304792;61671;249942;103983;56468;196015;102717;236828;29536;1458444;164173;24188;1598429
2022;Q2;32696;445140;356216;85744;283763;104020;57928;198962;112683;249501;31646;1602083;191271;29063;1764291
2022;Q3;65589;419302;339562;98182;298539;103116;57452;204591;114400;251252;36209;1648632;192333;26695;1814270
2022;Q4;23716;447559;366757;105369;308384;120060;60525;210858;122307;275628;34558;1708964;194165;30247;1872882
2023;Q1;29730;486976;355292;70315;276506;113026;53691;212506;109202;262712;32340;1647004;170594;44191;1773407
2023;Q2;29770;505767;402598;95028;321085;115917;58665;213243;120963;270082;34741;1765261;192879;29239;1928901
2023;Q3;53643;458084;369635;104296;335914;114584;62051;215583;120303;268490;37270;1770218;192672;30250;1932640
2023;Q4;18747;490303;397487;106974;332535;129146;60702;221673;127258;288487;37276;1813101;208731;38223;1983609
2024;Q1;24286;501704;371341;69857;287752;117896;55904;218337;112807;273882;33754;1696179;176134;26258;1846055
2024;Q2;25339;532419;422529;96227;337004;124071;62798;221324;128949;283110;35867;1847107;211671;31476;2027302
