rok;kvartal;prumerna_hruba_mesicni_mzda
2000;Q1;11 941
2000;Q2;13 227
2000;Q3;12 963
2000;Q4;14 717
2001;Q1;13 052
2001;Q2;14 391
2001;Q3;14 117
2001;Q4;15 908
2002;Q1;14 083
2002;Q2;15 599
2002;Q3;15 268
2002;Q4;17 133
2003;Q1;14 986
2003;Q2;16 529
2003;Q3;16 088
2003;Q4;18 096
2004;Q1;16 231
2004;Q2;17 223
2004;Q3;17 190
2004;Q4;19 183
2005;Q1;17 067
2005;Q2;18 112
2005;Q3;18 203
2005;Q4;19 963
2006;Q1;18 270
2006;Q2;19 300
2006;Q3;19 305
2006;Q4;21 269
2007;Q1;19 687
2007;Q2;20 740
2007;Q3;20 721
2007;Q4;22 641
2008;Q1;21 632
2008;Q2;22 246
2008;Q3;22 181
2008;Q4;24 309
2009;Q1;22 108
2009;Q2;22 796
2009;Q3;23 091
2009;Q4;25 418
2010;Q1;22 738
2010;Q2;23 504
2010;Q3;23 600
2010;Q4;25 591
2011;Q1;23 372
2011;Q2;24 116
2011;Q3;24 107
2011;Q4;26 211
2012;Q1;24 131
2012;Q2;24 627
2012;Q3;24 439
2012;Q4;27 055
2013;Q1;23 985
2013;Q2;24 877
2013;Q3;24 735
2013;Q4;26 525
2014;Q1;24 931
2014;Q2;25 569
2014;Q3;25 279
2014;Q4;27 261
2015;Q1;25 497
2015;Q2;26 408
2015;Q3;26 163
2015;Q4;28 258
2016;Q1;26 683
2016;Q2;27 452
2016;Q3;27 396
2016;Q4;29 491
2017;Q1;28 034
2017;Q2;29 432
2017;Q3;29 234
2017;Q4;31 802
2018;Q1;30 427
2018;Q2;32 003
2018;Q3;31 685
2018;Q4;34 057
2019;Q1;32 951
2019;Q2;34 576
2019;Q3;34 127
2019;Q4;36 634
2020;Q1;34 761
2020;Q2;34 875
2020;Q3;35 975
2020;Q4;39 092
2021;Q1;35 804
2021;Q2;38 770
2021;Q3;37 896
2021;Q4;40 601
2022;Q1;37 691
2022;Q2;39 726
2022;Q3;39 386
2022;Q4;42 878
2023;Q1;41 058
2023;Q2;43 057
2023;Q3;42 439
2023;Q4;45 907
2024;Q1;43 941
