Prùmìrná hrubá mìsíèní mzda a prùmìrný poèet zamìstnancù1);;;;;;;;;;;;
Average gross monthly wages and average number of employees1);;;;;;;;;;;;
na pøepoètené poèty / per full-time equivalent employee;;;;;;;;;;;;
"Období
Period";"  Prùmìrná hrubá mìsíèní mzda
Average gross monthly wages";;;"Prùmìrný poèet zamìstnancù 
Average number of employees ";;;;;;;;
;"  nominální mzda
 v Kè
Nominal wage 
(CZK)";"index nominální mzdy
SOPR=1002)
Nominal wage index, SPPY=1002)";"index reálné mzdy
SOPR=1002)
Real wage index,
SPPY=1002)";" v tis.
Thous.";"index 
SOPR=1002)

SPPY=1002)                                                                                                                                                               ";;;;;;;
;;;;;;;;;;;;
2000;13 219;.;.;3 894,3;.;;;;;;;
2001;14 378;108,8;103,9;3 936,8;101,1;;;;;;;
2002;15 524;108,0;106,1;3 836,5;97,5;;;;;;;
2003;16 430;105,8;105,7;3 837,4;100,0;;;;;;;
2004;17 466;106,3;103,4;3 846,6;100,2;;;;;;;
2005;18 344;105,0;103,0;3 907,1;101,6;;;;;;;
2006;19 546;106,6;104,0;3 934,9;100,7;;;;;;;
2007;20 957;107,2;104,3;4 003,4;101,7;;;;;;;
2008;22 592;107,8;101,4;4 037,2;100,8;;;;;;;
2009;23 344;103,3;102,3;3 816,0;94,5;;;;;;;
2010;23 864;102,2;100,7;3 786,1;99,2;;;;;;;
2011;24 455;102,5;100,6;3 773,3;99,7;;;;;;;
2012;25 067;102,5;99,2;3 775,1;100,0;;;;;;;
2013;25 035;99,9;98,5;3 737,4;99,0;;;;;;;
2014;25 768;102,9;102,5;3 778,5;101,1;;;;;;;
2015;26 591;103,2;102,9;3 856,9;102,1;;;;;;;
2016;27 764;104,4;103,7;3 925,7;101,8;;;;;;;
2017;29 638;106,8;104,2;4 012,3;102,2;;;;;;;
2018;32 051;108,1;105,9;4 073,7;101,5;;;;;;;
2019;34 578;107,9;105,0;4 061,7;99,7;;;;;;;
2020;36 176;104,6;101,4;3 992,2;98,3;;;;;;;
2021;38 277;105,8;101,9;4 000,9;100,2;;;;;;;
2022;39 932;104,3;90,6;4 029,4;100,7;;;;;;;
20233);43 120;108,0;97,6;4 023,8;99,9;;;;;;;
;;;;;;;;;;;;
2000         1. ètvrtletí / Q1;11 941;.;.;3 842,8;.;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;13 227;.;.;3 889,9;.;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;12 963;.;.;3 915,4;.;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;14 717;.;.;3 929,0;.;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;12 588;.;.;3 866,3;.;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;12 714;.;.;3 882,7;.;;;;;;;
;;;;;;;;;;;;
2001         1. ètvrtletí / Q1;13 052;109,3;105,0;3 858,9;100,4;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;14 391;108,8;103,6;3 951,1;101,6;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;14 117;108,9;103,3;3 952,9;101,0;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;15 908;108,1;103,6;3 984,3;101,4;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;13 730;109,1;104,3;3 905,0;101,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;13 860;109,0;104,0;3 921,0;101,0;;;;;;;
;;;;;;;;;;;;
2002         1. ètvrtletí / Q1;14 083;107,9;104,1;3 809,9;98,7;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;15 599;108,4;106,0;3 842,9;97,3;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;15 268;108,2;107,4;3 846,1;97,3;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;17 133;107,7;107,2;3 847,3;96,6;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;14 844;108,1;105,0;3 826,4;98,0;;;;;;;
1.- 3. ètvrtletí / Q1-Q3;14 986;108,1;105,8;3 832,9;97,8;;;;;;;
;;;;;;;;;;;;
2003         1. ètvrtletí / Q1;14 986;106,4;106,8;3 807,7;99,9;;;;;;;
2. ètvrtletí / Q2                                                                                                                                                                                              ;16 529;106,0;105,9;3 839,1;99,9;;;;;;;
3. ètvrtletí / Q3                                                                                                                                                                                                    ;16 088;105,4;105,5;3 846,4;100,0;;;;;;;
4. ètvrtletí / Q4                                                                                                                                                                                            ;18 096;105,6;104,8;3 856,5;100,2;;;;;;;
1.- 2. ètvrtletí / Q1-Q2;15 761;106,2;106,4;3 823,4;99,9;;;;;;;
